Gov. Expenditure (Rp),Tax ,Money Supply,Export,Import,FDI,GDP (US)
0,0,0,0.000434129,0,0.813273962,0
0.019421836,6.72263E-05,0.000197268,0,0.000576296,0.809605909,0.004283174
0.016949182,0.001315156,0.000711551,0.001948188,0.002279092,0.806934609,0.012849522
0.025579894,0.002195625,0.001190128,0.002861951,0.001852764,0.809725519,0.026769838
0.045558568,0.00385344,0.001943395,0.002517271,0.001849851,0.806216947,0.032123806
0.053387879,0.002046813,0.002594933,0.002104455,0.002218105,0.808290194,0.044973328
0.052899526,0.0045492,0.003505772,0.004753772,0.004339807,0.803226686,0.056752057
0.074769005,0.006251396,0.004699279,0.006100401,0.005446652,0.795611489,0.070672373
0.107357222,0.009673413,0.007027914,0.008302725,0.007555415,0.791385254,0.09101745
0.118376484,0.016692103,0.010783999,0.010989429,0.01111306,0.774998626,0.111362527
0.143276261,0.017779734,0.012919682,0.01402745,0.014241219,0.759489141,0.131823042
0.165386787,0.021305461,0.015729878,0.017944235,0.017378852,0.747727449,0.152772581
0.165721747,0.023161757,0.019165903,0.020540859,0.019801903,0.752870697,0.175079546
0.174979433,0.032047381,0.023321055,0.024134413,0.025495754,0.758771478,0.202651773
0.180486264,0.036654669,0.030125717,0.029143226,0.034297127,0.66934275,0.2349772
0.191699684,0.041741027,0.038663596,0.034064318,0.038944017,0.595543118,0.268249719
0.191961528,0.057859487,0.048782073,0.044305988,0.049917348,0.639200923,0.289815159
0.126191338,0.086003824,0.08027894,0.135200464,0.122420698,0.828177421,0.226752216
0.128707204,0.109372285,0.090271208,0.103468596,0.088261735,0.892959262,0.230054008
0.15237443,0.11471828,0.10551014,0.152548461,0.12556658,1,0.250750532
0.181742965,0.11667176,0.118201489,0.172600715,0.151049436,0.937285725,0.266831036
0.236010362,0.132893083,0.123892099,0.159686661,0.143196578,0.812792109,0.287413089
0.283361099,0.155043059,0.133837581,0.164680716,0.138635743,0.842376128,0.310263939
0.304082223,0.177031087,0.146203837,0.199219682,0.189668468,0.878857045,0.335461835
0.339911904,0.190785726,0.170315467,0.255582728,0.250289902,0.608410919,0.365408351
0.39525085,0.275357107,0.195975509,0.280597082,0.258110113,0.73132294,0.395994171
0.419827395,0.33264641,0.234118922,0.315338702,0.303393136,0.728736104,0.433213781
0.488209344,0.42218399,0.269265374,0.400958957,0.432061223,0.682271705,0.470728168
0.60171441,0.396873601,0.304321641,0.367848745,0.362823065,0.713788091,0.501340255
0.604427978,0.464351218,0.351410053,0.453842906,0.467266867,0.375765616,0.544405685
0.650801334,0.562623718,0.409376285,0.561906904,0.568561089,0.358937959,0.589754026
0.690940046,0.632228429,0.470808123,0.577567251,0.65590609,0.271708818,0.636809845
0.753461938,0.695402908,0.531155131,0.622770615,0.719154606,0.333354867,0.682791261
0.764977269,0.739767673,0.59442034,0.68247067,0.787008837,0.231161989,0.726519128
0.818149099,0.801250307,0.648026403,0.665345773,0.730090956,0.391787624,0.771240874
0.816662677,0.828926092,0.713154308,0.645698628,0.692881967,0.175235434,0.819651053
0.839026954,0.86836185,0.772287603,0.74847611,0.794911996,0.080897781,0.870868682
0.890846637,0.98305066,0.820954906,0.851196125,1,0.319776878,0.925792231
0.927667244,1,0.874740367,0.803739204,0.919909949,0,0.981827231
0.95051981,0.829887495,0.984553061,0.727713138,0.739146693,0.254714251,0.957616525
1,0.868301978,1,1,0.977272436,0.136559555,1
