Time,Random_Walk,White_Noise,D(Random_Walk)
0,100,-4.144975055,-0.138264301
1,99.8617357,-2.800905201,0.647688538
2,100.5094242,3.736468026,1.523029856
3,102.0324541,3.051851327,-0.234153375
4,101.7983007,-0.10450797,-0.234136957
5,101.5641638,0.586636917,1.579212816
6,103.1433766,6.388324479,0.767434729
7,103.9108113,-2.957856944,-0.469474386
8,103.4413369,2.735486906,0.542560044
9,103.983897,-1.010963262,-0.463417693
10,103.5204793,-1.088406016,-0.465729754
11,103.0547495,5.49388426,0.241962272
12,103.2967118,4.127081745,-1.913280245
13,101.3834315,4.06754818,-1.724917833
14,99.65851371,6.527394036,-0.562287529
15,99.09622618,0.105019208,-1.01283112
16,98.08339506,3.409764856,0.314247333
17,98.3976424,-1.551333783,-0.908024076
18,97.48961832,1.620831762,-1.412303701
19,96.07731462,-0.650715272,1.465648769
20,97.54296339,0.484979825,-0.2257763
21,97.31718709,2.975785127,0.067528205
22,97.38471529,-4.091103416,-1.424748186
23,95.95996711,10.46193638,-0.544382725
24,95.41558438,-5.030086907,0.11092259
25,95.52650697,-6.070943064,-1.150993577
26,94.37551339,5.790554368,0.375698018
27,94.75121141,3.95831347,-0.60063869
28,94.15057272,3.120599085,-0.29169375
29,93.85887897,3.141727546,-0.601706612
30,93.25717236,-0.061233864,1.852278185
31,95.10945054,-4.486271857,-0.013497225
32,95.09595332,0.379022791,-1.057710929
33,94.03824239,-3.385808558,0.822544912
34,94.8607873,4.875598667,-1.22084365
35,93.63994365,-0.735286908,0.208863595
36,93.84880725,-4.127485984,-1.959670124
37,91.88913712,-1.606929208,-1.328186049
38,90.56095107,2.064657271,0.196861236
39,90.75781231,-2.818622764,0.73846658
40,91.49627889,-4.111101978,0.171368281
41,91.66764717,1.218436057,-0.115648282
42,91.55199889,1.224832856,-0.301103696
43,91.25089519,-2.534715877,-1.47852199
44,89.7723732,-2.355191528,-0.719844208
45,89.05252899,1.160249687,-0.460638771
46,88.59189022,-7.240421707,1.057122226
47,89.64901245,-7.037318872,0.34361829
48,89.99263074,-3.592221106,-1.763040155
49,88.22959058,-1.067235759,0.324083969
50,88.55367455,1.554537828,-0.38508228
51,88.16859227,7.376781085,-0.676922
52,87.49167027,4.288298116,0.611676289
53,88.10334656,-0.79969265,1.030999522
54,89.13434608,-0.09508104,0.931280119
55,90.0656262,-5.012646823,-0.839217523
56,89.22640868,-0.09256568,-0.309212376
57,88.9171963,-1.443293195,0.331263431
58,89.24845974,1.613592802,0.975545127
59,90.22400486,-4.136154718,-0.479174238
60,89.74483062,2.596732571,-0.185658977
61,89.55917165,7.663694565,-1.106334974
62,88.45283667,-0.543800742,-1.196206624
63,87.25663005,2.00855861,0.812525822
64,88.06915587,3.450719959,1.356240029
65,89.4253959,-2.006102359,-0.072010122
66,89.35338578,1.120462409,1.003532898
67,90.35691868,0.062962004,0.361636025
68,90.7185547,0.488380493,-0.645119755
69,90.07343495,-3.865048919,0.361395606
70,90.43483055,0.122550871,1.538036566
71,91.97286712,2.489991456,-0.035826039
72,91.93704108,7.255718039,1.564643656
73,93.50168474,4.79635413,-2.619745104
74,90.88193963,10.76591229,0.821902504
75,91.70384214,-3.836737814,0.087047068
76,91.79088921,4.361603184,-0.29900735
77,91.49188185,0.916710029,0.091760777
78,91.58364263,10.94901467,-1.987568915
79,89.59607372,-4.041491427,-0.219671888
80,89.37640183,-4.198609211,0.357112572
81,89.7335144,-2.996963227,1.477894045
82,91.21140844,-10.61947862,-0.518270218
83,90.69313823,-2.628775108,-0.808493603
84,89.88464462,-3.795663308,-0.501757044
85,89.38288758,0.751968932,0.915402118
86,90.2982897,1.708779879,0.32875111
87,90.62704081,9.380854196,-0.529760204
88,90.0972806,4.752119191,0.513267433
89,90.61054804,-2.884518278,0.097077549
90,90.70762559,-4.492073357,0.968644991
91,91.67627058,2.459595858,-0.702053094
92,90.97421748,-6.601166035,-0.327662147
93,90.64655534,9.157293829,-0.392108153
94,90.25444718,5.897200604,-1.463514948
95,88.79093224,-2.345878261,0.296120277
96,89.08705251,-8.565672645,0.261055272
97,89.34810778,6.769361871,0.005113457
98,89.35322124,-0.572699226,-0.234587133
99,89.11863411,6.18908156,-1.415370742
100,87.70326337,-7.972138294,-0.420645323
101,87.28261804,-2.996875115,-0.342714517
102,86.93990353,0.026218499,-0.802277269
103,86.13762626,0.234902969,-0.161285712
104,85.97634055,-2.250327357,0.404050857
105,86.3803914,3.114249662,1.886185901
106,88.2665773,-5.338102147,0.174577813
107,88.44115512,-0.711897425,0.257550391
108,88.69870551,0.601478159,-0.074445916
109,88.62425959,2.57219417,-1.918771215
110,86.70548838,3.55807439,-0.026513875
111,86.6789745,-5.623210459,0.06023021
112,86.73920471,-7.670570854,2.463242112
113,89.20244682,6.388384109,-0.192360965
114,89.01008586,1.66157006,0.301547342
115,89.3116332,-3.742432683,-0.03471177
116,89.27692143,7.755759878,-1.168678038
117,88.10824339,0.578373171,1.142822815
118,89.25106621,5.89648592,0.751933033
119,90.00299924,0.337592407,0.791031947
120,90.79403119,10.30373962,-0.909387455
121,89.88464373,8.776704212,1.402794311
122,91.28743804,-1.244820742,-1.401851063
123,89.88558698,4.857854755,0.586857094
124,90.47244407,3.226879748,2.190455626
125,92.6628997,6.843157788,-0.990536325
126,91.67236338,-4.824617303,-0.56629773
127,91.10606565,3.4302573,0.099651365
128,91.20571701,5.292122434,-0.503475654
129,90.70224136,-8.793697432,-1.550663431
130,89.15157793,-5.916292563,0.068562975
131,89.2201409,-10.19616089,-1.062303714
132,88.15783719,-1.347034172,0.473592431
133,88.63142962,3.587711279,-0.919424234
134,87.71200538,7.51178526,1.549934405
135,89.26193979,0.370473902,-0.783253292
136,88.4786865,8.143077728,-0.322061516
137,88.15662498,-6.900507291,0.813517217
138,88.9701422,-8.516912197,-1.230864316
139,87.73927788,-0.277738494,0.227459935
140,87.96673781,1.920327245,1.307142754
141,89.27388057,-0.16347374,-1.607483235
142,87.66639733,-10.3372105,0.184633859
143,87.85103119,-0.445600198,0.259882794
144,88.11091399,-6.522347503,0.781822872
145,88.89273686,3.348362744,-1.236950711
146,87.65578615,1.83299123,-1.320456613
147,86.33532954,-4.699398932,0.521941566
148,86.8572711,-2.569334587,0.296984673
149,87.15425577,-5.296067609,0.25049285
150,87.40474862,-0.313395486,0.346448209
151,87.75119683,4.775711603,-0.680024722
152,87.07117211,-4.928630232,0.232253697
153,87.30342581,2.520232578,0.293072473
154,87.59649828,-2.651288092,-0.714351418
155,86.88214686,-3.964364161,1.865774511
156,88.74792138,-0.5351518,0.473832921
157,89.2217543,-5.176211612,-1.191303497
158,88.0304508,-2.768246527,0.656553609
159,88.68700441,-5.989389463,-0.97468167
160,87.71232274,9.823625665,0.787084604
161,88.49940734,0.17631776,1.158595579
162,89.65800292,-3.49862754,-0.820682318
163,88.8373206,1.069899554,0.963376129
164,89.80069673,-0.561640248,0.412780927
