"ID_Area","Jenis_Promo","GMV_Harian"
"1","A","105"
"2","B","110"
"3","C","115"
"4","A","98"
"5","B","112"
"6","C","120"
"7","A","102"
"8","B","108"
"9","C","118"
"10","A","95"
"11","B","115"
"12","C","122"
"13","A","100"
"14","B","109"
"15","C","116"
"16","A","103"
"17","B","111"
"18","C","119"
"19","A","97"
"20","B","113"
"21","C","121"
"22","A","101"
"23","B","107"
"24","C","117"
"25","A","99"
"26","B","114"
"27","C","123"
"28","A","104"
"29","B","106"
"30","C","125"
"31","A","96"
"32","B","110"
"33","C","124"
"34","A","102"
"35","B","112"
"36","C","118"
"37","A","100"
"38","B","108"
"39","C","120"
"40","A","103"
"41","B","111"
"42","C","119"
"43","A","98"
"44","B","113"
"45","C","122"
"46","A","101"
"47","B","109"
"48","C","117"
"49","A","97"
"50","B","114"
