"ID_Karyawan","Metode_Pelatihan","Skor_Kepuasan"
"101","Metode_1","85"
"102","Metode_2","88"
"103","Metode_3","92"
"104","Metode_1","84"
"105","Metode_2","89"
"106","Metode_3","90"
"107","Metode_1","86"
"108","Metode_2","87"
"109","Metode_3","93"
"110","Metode_1","83"
"111","Metode_2","90"
"112","Metode_3","91"
"113","Metode_1","85"
"114","Metode_2","88"
"115","Metode_3","94"
"116","Metode_1","82"
"117","Metode_2","89"
"118","Metode_3","92"
"119","Metode_1","84"
"120","Metode_2","86"
"121","Metode_3","90"
"122","Metode_1","86"
"123","Metode_2","87"
"124","Metode_3","91"
"125","Metode_1","83"
"126","Metode_2","90"
"127","Metode_3","93"
"128","Metode_1","85"
"129","Metode_2","88"
"130","Metode_3","92"
"131","Metode_1","84"
"132","Metode_2","89"
"133","Metode_3","90"
"134","Metode_1","86"
"135","Metode_2","87"
"136","Metode_3","91"
"137","Metode_1","82"
"138","Metode_2","90"
"139","Metode_3","94"
"140","Metode_1","83"
"141","Metode_2","88"
"142","Metode_3","92"
"143","Metode_1","85"
"144","Metode_2","89"
"145","Metode_3","90"
"146","Metode_1","84"
"147","Metode_2","87"
"148","Metode_3","93"
"149","Metode_1","86"
"150","Metode_2","88"
