"ID_Nasabah","Kelompok_Usia","Jenis_Polis"
"201","Muda","Kesehatan"
"202","Dewasa","Jiwa"
"203","Senior","Kesehatan"
"204","Muda","Kesehatan"
"205","Dewasa","Kesehatan"
"206","Senior","Jiwa"
"207","Muda","Kesehatan"
"208","Dewasa","Jiwa"
"209","Senior","Kesehatan"
"210","Muda","Jiwa"
"211","Dewasa","Jiwa"
"212","Senior","Kesehatan"
"213","Muda","Kesehatan"
"214","Dewasa","Kesehatan"
"215","Senior","Kesehatan"
"216","Muda","Kesehatan"
"217","Dewasa","Jiwa"
"218","Senior","Jiwa"
"219","Muda","Kesehatan"
"220","Dewasa","Jiwa"
"221","Senior","Kesehatan"
"222","Muda","Jiwa"
"223","Dewasa","Kesehatan"
"224","Senior","Kesehatan"
"225","Muda","Kesehatan"
"226","Dewasa","Jiwa"
"227","Senior","Kesehatan"
"228","Muda","Kesehatan"
"229","Dewasa","Jiwa"
"230","Senior","Kesehatan"
"231","Muda","Jiwa"
"232","Dewasa","Jiwa"
"233","Senior","Kesehatan"
"234","Muda","Kesehatan"
"235","Dewasa","Kesehatan"
"236","Senior","Jiwa"
"237","Muda","Kesehatan"
"238","Dewasa","Jiwa"
"239","Senior","Kesehatan"
"240","Muda","Kesehatan"
"241","Dewasa","Jiwa"
"242","Senior","Kesehatan"
"243","Muda","Jiwa"
"244","Dewasa","Kesehatan"
"245","Senior","Kesehatan"
"246","Muda","Kesehatan"
"247","Dewasa","Jiwa"
"248","Senior","Jiwa"
"249","Muda","Kesehatan"
"250","Dewasa","Kesehatan"
