"Grup_Facebook","Grup_Google"
"450500","480200"
"510000","505000"
"480000","490100"
"430000","475000"
"520000","510000"
"465000","485000"
"470000","495000"
"490000","500000"
"440000","460000"
"500000","520000"
"455000","482000"
"515000","508000"
"485000","492000"
"435000","478000"
"525000","512000"
"470000","488000"
"475000","498000"
"495000","502000"
"445000","465000"
"505000","525000"
"460000","484000"
"520000","510000"
"490000","495000"
"440000","480000"
"530000","515000"
"475000","490000"
"480000","500000"
"500000","505000"
"450000","470000"
"510000","530000"
"465000","486000"
"525000","512000"
"495000","498000"
"445000","482000"
"535000","518000"
"480000","492000"
"485000","502000"
"505000","508000"
"455000","475000"
"515000","535000"
"470000","488000"
"530000","515000"
"500000","500000"
"450000","485000"
"540000","520000"
"485000","495000"
"490000","505000"
"510000","510000"
"460000","480000"
"520000","540000"
