"Wilayah_Urban","Wilayah_Rural"
"5.5","3.0"
"6.2","3.5"
"4.8","2.8"
"7.0","4.0"
"5.0","3.2"
"6.5","3.8"
"5.8","3.1"
"7.2","4.2"
"4.5","2.5"
"6.8","3.9"
"5.6","3.1"
"6.3","3.6"
"4.9","2.9"
"7.1","4.1"
"5.1","3.3"
"6.6","3.9"
"5.9","3.2"
"7.3","4.3"
"4.6","2.6"
"6.9","4.0"
"5.7","3.2"
"6.4","3.7"
"5.0","3.0"
"7.2","4.2"
"5.2","3.4"
"6.7","4.0"
"6.0","3.3"
"7.4","4.4"
"4.7","2.7"
"7.0","4.1"
"5.8","3.3"
"6.5","3.8"
"5.1","3.1"
"7.3","4.3"
"5.3","3.5"
"6.8","4.1"
"6.1","3.4"
"7.5","4.5"
"4.8","2.8"
"7.1","4.2"
"5.9","3.4"
"6.6","3.9"
"5.2","3.2"
"7.4","4.4"
"5.4","3.6"
"6.9","4.2"
"6.2","3.5"
"7.6","4.6"
"4.9","2.9"
"7.2","4.3"
