"Pendapatan","Pendidikan","Pengalaman","Usia"
"85.67","12","5","28"
"151.02","16","10","35"
"102.43","14","7","31"
"185.33","18","15","40"
"91.11","12","6","29"
"78.99","11","4","26"
"255.43","20","20","48"
"135.88","15","9","34"
"166.75","17","12","38"
"72.45","10","3","25"
"220.19","19","18","45"
"121.56","14","8","33"
"88.92","12","5","30"
"177.65","18","14","41"
"142.01","16","11","36"
"98.78","13","6","32"
"298.11","21","25","55"
"115.34","14","7","35"
"105.66","13","8","34"
"199.87","19","16","43"
"240.22","20","22","50"
"82.13","11","5","27"
"158.91","17","11","37"
"128.76","15","9","36"
"188.44","18","15","42"
"340.57","22","30","60"
"94.55","12","7","31"
"148.21","16","10","38"
"110.11","13","8","33"
"215.99","19","19","47"
"170.32","17","13","39"
"133.45","15","10","37"
"277.89","21","23","52"
"80.54","11","4","29"
"162.77","16","12","40"
"195.12","18","17","44"
"101.88","13","7","32"
"235.61","20","21","49"
"125.13","14","9","35"
"315.42","22","28","58"
"118.99","14","8","34"
"180.05","17","14","41"
"90.43","12","6","30"
"265.33","21","24","53"
"145.71","16","11","37"
"205.88","19","18","46"
"112.54","13","9","36"
"290.15","22","26","56"
"138.98","15","10","38"
"155.62","17","12","39"
