"Harga","Luas","Kamar","Lokasi"
"4.88","100","2","6"
"8.21","150","3","8"
"5.55","110","3","6"
"12.13","200","4","9"
"4.52","95","2","5"
"15.88","250","5","10"
"7.98","145","3","7"
"6.23","120","3","7"
"10.54","180","4","8"
"4.11","90","2","5"
"9.13","160","4","8"
"14.22","220","4","9"
"5.18","105","3","6"
"11.56","190","4","9"
"8.77","155","3","8"
"6.89","130","3","7"
"18.98","280","5","10"
"4.99","102","2","6"
"13.01","210","4","9"
"7.54","140","3","7"
"9.88","170","4","8"
"17.21","265","5","10"
"5.83","115","3","6"
"10.99","185","4","8"
"4.37","92","2","5"
"22.56","300","6","10"
"8.43","152","3","8"
"6.55","125","3","7"
"11.89","195","4","9"
"15.03","240","5","9"
"5.34","108","3","6"
"9.49","165","4","8"
"4.67","98","2","5"
"13.78","215","4","9"
"16.51","260","5","10"
"7.21","135","3","7"
"10.23","175","4","8"
"19.89","290","6","10"
"6.02","118","3","7"
"12.54","205","4","9"
"8.99","158","3","8"
"21.12","295","5","10"
"4.25","91","2","5"
"11.23","188","4","8"
"14.56","230","5","9"
"5.71","112","3","6"
"18.01","270","5","10"
"9.76","168","4","8"
"6.73","128","3","7"
"10.77","182","4","8"
