"No","GAJI","PENGALAMAN","GENDER","STATUS"
"1","8.5","3","Pria","Menikah"
"2","7.2","2","Wanita","Lajang"
"3","15.1","8","Pria","Menikah"
"4","9.8","4","Pria","Lajang"
"5","11.5","5","Wanita","Menikah"
"6","20.2","12","Pria","Menikah"
"7","6.5","1","Wanita","Lajang"
"8","13.0","6","Pria","Lajang"
"9","18.9","10","Pria","Menikah"
"10","10.1","5","Wanita","Lajang"
"11","25.0","15","Pria","Menikah"
"12","12.5","7","Wanita","Menikah"
"13","7.8","3","Wanita","Lajang"
"14","16.5","9","Pria","Menikah"
"15","9.0","4","Pria","Lajang"
"16","14.2","8","Wanita","Menikah"
"17","11.8","6","Wanita","Lajang"
"18","22.1","13","Pria","Menikah"
"19","8.9","3","Pria","Lajang"
"20","17.0","9","Pria","Menikah"
"21","10.5","5","Wanita","Menikah"
"22","19.5","11","Pria","Menikah"
"23","8.2","2","Pria","Lajang"
"24","13.8","7","Wanita","Menikah"
"25","15.9","8","Pria","Lajang"
"26","21.0","12","Wanita","Menikah"
"27","9.5","4","Wanita","Lajang"
"28","26.5","16","Pria","Menikah"
"29","11.0","6","Pria","Lajang"
"30","18.2","10","Wanita","Menikah"
