"No","KONSUMSI","PENDAPATAN","KEKAYAAN","JML_ANGGOTA"
"1","6","8","2.5","4"
"2","4","5","1.0","2"
"3","10","15","8.0","5"
"4","7","10","4.0","3"
"5","8","11","5.5","4"
"6","12","20","12.0","5"
"7","3.5","4","0.8","2"
"8","9","13","6.0","4"
"9","5","7","2.0","3"
"10","11","18","10.0","4"
"11","6.5","9","3.5","5"
"12","15","25","18.0","6"
"13","4.5","6","1.5","3"
"14","10.5","16","9.0","5"
"15","7.5","11","4.5","4"
"16","9.5","14","7.0","3"
"17","13","22","15.0","5"
"18","5.5","8","3.0","2"
"19","8.5","12","5.0","4"
"20","11.5","19","11.0","4"
"21","6.8","9.5","3.8","3"
"22","7.2","10","4.2","4"
"23","10.8","17","9.5","5"
"24","4.2","5.5","1.2","2"
"25","14","24","16.5","5"
"26","8.8","12.5","5.8","3"
"27","9.2","13.5","6.5","4"
"28","12.5","21","14.0","4"
"29","6.1","8.5","2.8","3"
"30","10.2","15.5","8.5","5"
