"Hasil_Panen","Curah_Hujan","Pupuk","Sinar_Matahari"
"4.5","650","120","7.5"
"4.2","620","110","7.2"
"4.8","680","130","7.8"
"5.1","710","140","8.1"
"3.9","590","100","6.9"
"4.6","660","125","7.6"
"4.1","610","105","7.1"
"5.0","700","135","8.0"
"5.3","730","150","8.3"
"4.3","630","115","7.3"
"4.7","670","128","7.7"
"3.8","580","95","6.8"
"4.9","690","132","7.9"
"4.4","640","118","7.4"
"3.7","570","90","6.7"
"5.2","720","145","8.2"
"4.8","680","130","7.8"
"4.2","620","110","7.2"
"4.6","660","125","7.6"
"4.0","600","102","7.0"
"5.1","710","142","8.1"
"3.9","590","98","6.9"
"4.5","650","122","7.5"
"5.4","740","155","8.4"
"4.1","615","108","7.1"
"4.9","695","133","7.9"
"4.3","635","116","7.3"
"3.6","560","88","6.6"
"5.2","725","148","8.2"
"4.7","675","129","7.7"
"4.0","605","104","7.0"
"4.8","685","131","7.8"
"4.2","625","112","7.2"
"5.0","705","138","8.0"
"3.9","595","99","6.9"
"4.6","665","126","7.6"
"5.3","735","152","8.3"
"4.1","612","107","7.1"
"4.8","682","130","7.8"
"4.4","642","119","7.4"
"3.8","582","96","6.8"
"5.1","712","143","8.1"
"4.5","652","123","7.5"
"4.0","602","103","7.0"
"4.9","692","134","7.9"
"4.3","632","117","7.3"
"5.2","722","147","8.2"
"3.7","572","92","6.7"
"4.7","672","127","7.7"
"5.4","742","158","8.4"
