"Harga","Luas_Bangunan","Jumlah_Kamar","Usia_Rumah"
"350","1800","3","15"
"320","1700","3","20"
"380","1900","4","10"
"410","2100","4","5"
"290","1600","3","25"
"360","1850","3","12"
"310","1650","3","22"
"400","2000","4","8"
"425","2200","5","3"
"330","1750","3","18"
"370","1880","4","11"
"280","1550","2","30"
"390","1950","4","9"
"340","1780","3","16"
"270","1500","2","35"
"420","2150","4","4"
"375","1900","4","10"
"325","1720","3","19"
"365","1860","3","13"
"300","1620","3","24"
"405","2050","4","6"
"285","1580","2","28"
"355","1820","3","14"
"430","2250","5","2"
"315","1680","3","21"
"385","1920","4","10"
"335","1760","3","17"
"275","1520","2","32"
"415","2120","4","5"
"345","1790","3","15"
"305","1640","3","23"
"378","1890","4","11"
"322","1710","3","20"
"398","1980","4","8"
"295","1610","3","26"
"368","1870","3","12"
"428","2220","5","3"
"318","1690","3","21"
"382","1910","4","10"
"338","1770","3","16"
"282","1560","2","29"
"408","2080","4","6"
"352","1810","3","15"
"302","1630","3","24"
"392","1960","4","9"
"328","1730","3","18"
"422","2180","4","4"
"278","1540","2","31"
"372","1890","4","11"
"435","2280","5","1"
