"APPROVE","PENDAPATAN","LAMA_USAHA","RASIO_UTANG","JAMINAN"
"0","3.5","1","65","0"
"1","8.2","5","30","1"
"1","6.5","4","25","1"
"0","4.1","2","70","0"
"1","10.0","8","20","1"
"0","2.8","1","80","0"
"1","7.5","6","35","1"
"0","9.0","2","55","0"
"1","9.1","7","22","1"
"0","3.9","1","60","1"
"1","12.5","10","15","1"
"0","4.5","3","75","0"
"1","7.8","5","40","1"
"0","3.2","1","68","0"
"1","11.3","9","18","1"
"1","4.9","4","33","0"
"0","6.8","2","58","1"
"1","8.8","6","28","1"
"0","3.6","1","72","0"
"1","9.5","7","24","1"
"0","5.5","3","50","0"
"1","10.8","8","19","1"
"0","4.2","2","67","0"
"1","5.1","5","38","1"
"0","3.0","1","85","0"
"1","13.0","11","12","1"
"0","7.9","2","62","0"
"1","8.3","6","31","1"
"0","3.8","1","78","1"
"1","9.9","7","21","1"
"1","6.2","4","45","0"
"0","5.1","3","54","0"
"1","11.7","9","16","1"
"0","3.3","1","69","0"
"1","8.0","5","36","1"
"0","4.6","2","64","0"
"1","10.4","8","23","1"
"1","7.3","5","32","1"
"0","3.7","1","73","0"
"1","9.2","7","27","1"
"0","10.1","3","56","1"
"1","12.1","10","14","1"
"0","4.0","2","71","0"
"1","8.6","6","29","1"
"0","3.1","1","82","0"
"1","11.0","9","17","1"
"1","6.7","4","34","0"
"0","4.7","2","59","1"
"1","5.7","7","26","1"
"0","3.4","1","76","0"
