"LULUS_TEPAT","IPK_SEM2","SKS_LULUS_SEM2","KEAKTIFAN_ORG","BEASISWA"
"1","3.85","44","0","1"
"0","2.75","36","1","0"
"1","3.50","42","1","1"
"0","2.90","38","0","0"
"1","3.95","44","1","1"
"0","2.60","34","1","0"
"1","3.65","43","0","1"
"0","3.10","40","1","0"
"1","3.78","44","0","1"
"0","2.88","37","0","1"
"1","3.99","44","1","1"
"0","2.55","32","1","0"
"1","3.40","41","0","0"
"0","3.05","39","1","0"
"1","3.88","44","0","1"
"1","3.55","42","1","1"
"0","2.95","38","0","0"
"1","3.70","43","0","1"
"0","2.82","36","1","0"
"1","3.92","44","1","1"
"0","3.15","40","0","0"
"1","3.60","42","0","1"
"0","2.70","35","1","0"
"1","3.82","44","1","1"
"0","2.98","39","0","0"
"1","4.00","44","0","1"
"0","2.65","33","1","1"
"1","3.75","43","0","1"
"0","2.80","37","1","0"
"1","3.90","44","0","1"
"1","3.45","41","1","0"
"0","3.00","39","0","0"
"1","3.86","44","1","1"
"0","2.78","36","1","0"
"1","3.68","43","0","1"
"0","3.20","40","0","1"
"1","3.96","44","0","1"
"1","3.52","42","1","0"
"0","2.85","37","0","0"
"1","3.72","43","1","1"
"0","3.08","39","1","0"
"1","3.98","44","0","1"
"0","2.68","34","1","0"
"1","3.63","42","0","1"
"0","2.92","38","0","0"
"1","3.80","44","1","1"
"1","3.48","41","0","0"
"0","2.72","35","1","0"
"1","3.84","44","0","1"
"0","3.12","40","1","1"
