"Kepuasan","Kecepatan","Staf_Ramah","Digital_App"
"2","8","7","1"
"1","12","4","0"
"3","4","9","1"
"2","7","6","1"
"1","10","5","0"
"3","3","8","1"
"2","6","7","0"
"3","5","9","1"
"1","15","3","0"
"2","9","6","1"
"3","2","10","1"
"2","7","5","0"
"1","11","4","0"
"3","4","8","1"
"2","8","7","1"
"3","5","9","0"
"2","6","6","1"
"1","13","4","0"
"3","3","9","1"
"2","7","7","1"
"1","9","5","0"
"3","4","8","1"
"2","8","6","0"
"1","12","3","0"
"3","5","9","1"
"2","6","7","1"
"1","10","5","0"
"3","3","8","1"
"2","7","6","0"
"3","4","9","1"
"1","14","4","0"
"2","8","5","1"
"3","3","10","1"
"2","7","7","0"
"1","11","4","1"
"3","4","8","1"
"2","8","7","0"
"3","5","9","1"
"1","13","3","0"
"2","9","6","1"
"3","2","10","1"
"2","7","5","0"
"1","11","4","0"
"3","4","8","1"
"2","8","7","1"
"3","5","9","0"
"2","6","6","1"
"1","13","4","0"
"3","3","9","1"
"2","7","7","1"
