"Transport","Waktu_Tempuh","Biaya","Jarak_KM"
"Motor","25","10","8"
"Mobil","45","35","15"
"Umum","60","20","15"
"Motor","20","8","5"
"Mobil","35","30","12"
"Umum","55","18","12"
"Motor","30","12","10"
"Mobil","50","40","20"
"Umum","65","22","20"
"Motor","22","9","7"
"Mobil","40","32","14"
"Umum","50","15","14"
"Motor","15","5","4"
"Mobil","30","25","10"
"Umum","45","12","10"
"Motor","28","11","9"
"Mobil","42","33","16"
"Umum","58","19","16"
"Motor","24","10","8"
"Mobil","48","38","18"
"Umum","62","21","18"
"Motor","18","7","6"
"Mobil","38","31","13"
"Umum","52","17","13"
"Motor","26","11","9"
"Mobil","44","36","17"
"Umum","60","20","17"
"Motor","21","9","7"
"Mobil","36","29","12"
"Umum","54","18","12"
"Motor","19","8","6"
"Mobil","41","34","15"
"Umum","57","19","15"
"Motor","23","10","8"
"Mobil","46","37","18"
"Umum","63","22","18"
"Motor","27","11","9"
"Mobil","39","32","14"
"Umum","51","16","14"
"Motor","16","6","5"
"Mobil","32","27","11"
"Umum","48","14","11"
"Motor","29","12","10"
"Mobil","43","35","16"
"Umum","59","20","16"
"Motor","25","10","8"
"Mobil","47","38","19"
"Umum","64","23","19"
"Motor","20","8","7"
"Mobil","34","28","12"
