"JML_KLAIM","USIA","PENGALAMAN","TIPE_MOBIL"
"2","18","1","1"
"0","45","20","0"
"1","22","3","0"
"0","30","10","0"
"3","19","2","1"
"0","50","30","0"
"1","25","5","0"
"2","21","2","1"
"0","35","15","0"
"0","40","22","0"
"1","28","8","0"
"4","17","0","1"
"0","55","35","0"
"1","20","2","0"
"2","23","4","1"
"0","42","18","0"
"0","38","16","0"
"1","26","6","0"
"3","19","1","1"
"0","48","25","0"
"1","24","5","0"
"2","20","3","1"
"0","33","12","0"
"0","41","19","0"
"1","29","9","0"
"2","22","3","1"
"0","52","32","0"
"0","36","14","0"
"1","27","7","0"
"3","18","1","1"
"0","46","23","0"
"1","21","3","0"
"0","39","17","0"
"2","20","2","1"
"0","31","11","0"
"1","25","6","0"
"0","43","21","0"
"2","24","4","1"
"0","34","13","0"
"0","49","28","0"
"1","23","5","0"
"3","19","1","1"
"0","51","30","0"
"1","28","9","0"
"2","22","4","1"
"0","44","24","0"
"0","37","15","0"
"1","26","7","0"
"4","18","0","1"
"0","47","26","0"
