"CACAT","KEC_MESIN","USIA_MESIN","SUHU"
"2","1000","6","25"
"4","1200","12","28"
"1","900","3","24"
"3","1100","8","26"
"5","1300","24","30"
"2","1050","10","25"
"4","1250","15","29"
"1","950","5","24"
"3","1150","14","27"
"6","1400","30","31"
"2","1020","7","25"
"4","1220","13","28"
"1","920","4","24"
"3","1120","9","26"
"5","1350","26","30"
"2","1070","11","25"
"4","1270","18","29"
"1","970","6","24"
"3","1170","16","27"
"6","1450","32","31"
"2","1010","7","25"
"4","1210","13","28"
"1","910","4","24"
"3","1110","9","26"
"5","1320","25","30"
"2","1060","11","25"
"4","1260","17","29"
"1","960","5","24"
"3","1160","15","27"
"6","1420","31","31"
"2","1030","8","25"
"4","1230","14","28"
"1","930","4","24"
"3","1130","10","26"
"5","1370","27","30"
"2","1080","12","25"
"4","1280","19","29"
"1","980","6","24"
"3","1180","17","27"
"6","1480","34","31"
"2","1040","9","25"
"4","1240","15","28"
"1","940","5","24"
"3","1140","11","26"
"5","1380","28","30"
"2","1090","13","25"
"4","1290","20","29"
"1","990","7","24"
"3","1190","18","27"
"6","1500","36","32"
