"JAM_KERJA","PENDIDIKAN","ANAK_BALITA","INCOME_SUAMI"
"0","12","2","40"
"40","16","0","50"
"0","9","3","30"
"20","14","1","45"
"0","12","2","60"
"40","18","0","80"
"0","10","1","35"
"30","16","1","55"
"0","12","3","40"
"40","17","0","70"
"0","9","2","32"
"10","12","1","38"
"0","11","2","50"
"40","16","0","65"
"0","12","3","42"
"0","10","2","36"
"35","15","1","58"
"0","12","2","48"
"40","16","0","75"
"15","13","1","43"
"0","10","2","33"
"40","18","0","90"
"0","12","3","45"
"25","14","1","52"
"0","11","2","47"
"40","16","0","68"
"0","9","2","28"
"0","12","2","55"
"30","15","1","60"
"0","10","3","37"
"40","17","0","85"
"0","12","2","41"
"15","13","1","44"
"0","11","2","49"
"40","16","0","72"
"0","12","2","53"
"0","10","3","31"
"35","16","1","62"
"0","12","2","39"
"40","18","0","95"
"0","9","2","29"
"20","14","1","51"
"0","12","3","46"
"40","17","0","78"
"0","11","2","44"
"0","12","2","56"
"40","16","0","63"
"0","10","2","34"
"25","15","1","59"
"0","12","3","50"
