"PREMI","PENDAPATAN","USIA","LITERASI_KEU"
"0.0","50","25","30"
"5.0","120","35","70"
"0.0","60","28","40"
"3.5","100","32","60"
"0.0","40","22","20"
"10.0","200","45","85"
"0.0","55","30","35"
"2.0","90","38","55"
"0.0","45","26","25"
"8.0","180","42","80"
"0.0","65","31","45"
"0.0","52","29","33"
"4.5","110","34","65"
"12.0","250","50","90"
"0.0","35","24","15"
"0.0","70","33","42"
"6.0","150","40","75"
"0.0","48","27","28"
"9.0","190","48","82"
"0.0","62","30","38"
"0.0","58","29","36"
"11.0","220","49","88"
"0.0","42","25","22"
"4.0","105","36","62"
"0.0","68","32","48"
"7.5","170","43","78"
"0.0","51","28","31"
"0.0","46","27","26"
"5.5","130","39","68"
"0.0","63","31","43"
"10.5","210","47","86"
"0.0","38","23","18"
"3.0","95","35","58"
"0.0","56","30","34"
"8.5","185","44","81"
"0.0","72","34","50"
"0.0","49","28","29"
"6.5","160","41","72"
"0.0","61","31","39"
"11.5","230","50","89"
"0.0","43","26","23"
"0.0","66","32","46"
"9.5","195","46","84"
"0.0","53","29","32"
"2.5","85","37","52"
"0.0","69","33","49"
"0.0","59","30","37"
"11.8","240","52","92"
"0.0","47","27","27"
"7.0","165","42","77"
