Y_Pertumbuhan_Ekonomi,X1_Investasi,X2_Inflasi,X3_Keterbukaan_Perdagangan
5.2,25.1,8.1,40.5
4.8,22.3,9.5,35.2
6.1,30.5,6.2,50.1
3.9,18.2,11.3,28.9
5.5,28.1,7.5,45.3
4.6,21.9,8.9,33.1
6.5,33.2,5.1,55.8
7.1,35.8,4.5,60.2
3.5,17.5,12.1,25.6
5.8,29.3,6.8,48.9
4.2,20.1,10.2,31.5
5.1,24.8,8.3,39.8
4.9,23.5,9.1,37.4
6.8,34.1,4.9,58.3
5.3,26.5,7.9,42.1
4.1,19.8,10.8,30.2
6.2,31.1,5.9,52.4
5.7,28.8,7.2,46.7
4.4,21.2,9.8,32.8
7.0,35.2,4.6,59.9
5.0,24.1,8.5,38.2
6.4,32.5,5.5,54.1
4.7,22.8,9.3,36.5
5.9,30.1,6.5,49.5
3.8,18.9,11.8,27.1
6.6,33.8,5.0,56.7
5.4,27.2,7.7,43.9
4.3,20.7,10.5,31.9
6.0,30.8,6.1,51.3
5.6,27.9,7.4,44.8
6.9,34.9,4.7,59.1
4.0,19.2,11.1,29.5
5.2,25.9,8.0,41.2
4.8,23.1,9.2,36.9
6.3,31.8,5.7,53.2
3.7,18.5,12.0,26.3
5.5,27.5,7.6,44.2
6.7,34.5,4.8,57.5
4.5,21.5,9.7,33.5
5.8,29.7,6.7,48.1
5.1,25.5,8.2,40.9
4.9,23.8,9.0,37.8
6.1,31.5,5.8,52.9
5.3,26.8,7.8,42.7
4.2,20.4,10.4,31.1
6.4,32.8,5.4,55.2
5.7,28.4,7.3,46.1
4.6,22.1,9.6,34.8
7.2,36.1,4.3,61.5
5.0,24.5,8.6,39.1
