Y_Produktivitas_Padi,X1_Jumlah_Pupuk,X2_Curah_Hujan,X3_Sinar_Matahari
7.5,155,1850,220
6.8,120,1600,205
8.2,200,2100,240
8.5,225,2200,255
6.2,100,1500,190
7.9,180,2000,230
8.1,195,2050,235
7.1,135,1700,210
8.4,215,2150,250
6.5,110,1550,195
7.6,160,1900,225
7.3,145,1750,215
8.3,210,2120,245
8.0,190,2030,238
6.4,105,1520,192
8.2,205,2110,242
7.7,170,1950,228
7.8,175,1980,229
8.6,230,2250,260
6.9,125,1650,208
7.4,150,1800,218
8.1,198,2080,237
6.6,115,1580,200
8.7,240,2300,265
7.2,140,1720,212
8.5,220,2180,252
7.9,185,2010,233
6.7,118,1590,202
8.3,208,2130,248
8.0,188,2025,236
8.8,250,2350,270
6.3,102,1510,191
7.5,158,1880,223
7.0,130,1680,209
8.4,218,2160,251
6.1,95,1480,188
7.8,178,1990,231
8.6,235,2280,262
7.1,138,1710,211
7.7,165,1920,226
7.6,162,1890,224
7.2,142,1730,214
8.2,202,2105,241
8.0,189,2028,237
6.5,108,1540,194
8.5,228,2230,258
7.9,182,2005,232
6.8,122,1620,206
8.9,260,2400,275
7.4,152,1820,220
