Y_Tingkat_Kriminalitas,X1_Tingkat_Pengangguran,X2_Rata_rata_Pendidikan,X3_Kepadatan_Penduduk
550,7.5,11.5,3500
820,10.2,9.8,5500
310,4.1,14.2,1500
250,3.5,15.1,1200
950,12.5,8.5,8000
480,6.8,12.1,3100
420,5.9,12.8,2800
750,9.5,10.2,4800
280,3.8,14.8,1300
880,11.1,9.2,6200
580,7.9,11.2,3800
690,8.8,10.5,4500
260,3.6,15.0,1250
450,6.2,12.5,3000
910,11.8,8.8,7500
350,4.8,13.8,2100
610,8.2,11.0,4000
520,7.2,11.8,3300
290,3.9,14.5,1400
850,10.8,9.5,5900
590,8.0,11.1,3900
400,5.5,13.1,2500
980,13.1,8.2,8500
720,9.2,10.3,4700
330,4.5,14.0,1800
460,6.5,12.3,3050
780,9.8,10.0,5100
890,11.5,9.0,6800
540,7.4,11.6,3400
650,8.5,10.8,4200
300,4.0,14.4,1450
1050,14.0,7.8,9500
490,6.9,12.0,3150
800,10.0,9.9,5300
270,3.7,14.9,1280
560,7.6,11.4,3600
930,12.1,8.6,7800
430,6.0,12.7,2900
680,8.7,10.6,4400
380,5.2,13.5,2300
830,10.5,9.7,5700
510,7.1,11.9,3250
960,12.8,8.4,8200
360,4.9,13.7,2200
630,8.3,10.9,4100
470,6.6,12.2,3080
760,9.6,10.1,4900
1020,13.5,8.0,9000
530,7.3,11.7,3350
320,4.2,14.1,1700
