Y_Penjualan_Unit,X1_Biaya_Iklan,X2_Harga_Produk,X3_Harga_Kompetitor
150.5,50.2,99.9,105.1
145.2,45.8,102.5,103.2
180.9,75.1,95.5,110.5
135.8,40.5,105.0,99.8
165.3,60.9,98.0,108.3
190.1,85.5,92.0,115.2
125.4,35.1,110.0,95.6
175.6,70.3,96.5,109.9
142.1,48.5,103.0,101.5
158.8,55.6,99.0,107.4
195.5,90.2,90.5,118.1
130.2,38.2,108.0,97.3
168.9,65.7,97.5,109.1
172.4,68.9,97.0,110.0
148.7,51.1,101.5,104.5
185.3,80.8,93.5,112.8
160.2,58.3,98.8,107.9
138.5,42.6,104.0,100.4
178.1,72.5,96.0,111.3
153.6,53.2,100.5,106.1
192.8,88.1,91.5,116.7
128.9,36.9,109.5,96.2
163.7,62.1,98.2,108.8
182.4,78.2,94.5,113.5
147.3,50.5,101.8,104.0
170.1,67.3,97.2,109.5
133.6,39.8,106.5,98.9
198.0,95.3,89.9,120.0
156.9,54.8,99.5,106.8
166.2,63.5,97.9,109.0
140.1,44.1,103.5,101.0
188.6,83.4,92.8,114.3
151.8,52.5,101.0,105.7
174.0,69.5,96.8,110.8
127.5,36.2,109.8,96.0
161.5,59.9,98.5,108.1
194.2,89.5,91.0,117.5
143.9,49.2,102.8,102.3
176.8,71.4,96.2,111.0
136.7,41.5,104.5,100.0
159.4,56.7,99.2,107.6
184.1,79.5,94.0,112.0
146.0,46.9,102.2,103.8
169.5,66.8,97.3,109.3
191.0,86.7,91.8,115.9
129.5,37.5,108.8,96.8
179.9,74.0,95.8,111.8
155.1,54.0,100.0,106.5
131.7,39.0,107.2,98.1
196.7,92.1,90.1,119.2
