"jumlah_pengunjung","artikel_terbit","iklan_sosmed","is_weekend"
"25","20","10","0"
"28","22","12","0"
"22","18","8","0"
"150","25","50","0"
"20","15","5","1"
"18","14","5","1"
"30","23","15","0"
"35","28","18","0"
"200","30","80","0"
"26","21","11","0"
"45","30","25","0"
"19","16","6","1"
"32","24","16","0"
"180","28","70","0"
"24","19","9","0"
"38","29","20","0"
"21","17","7","1"
"60","35","30","0"
"250","32","100","0"
"23","18","9","0"
"80","40","40","0"
"27","22","13","0"
"29","23","14","0"
"70","38","35","0"
"20","15","6","1"
"42","32","22","0"
"190","29","75","0"
"22","18","8","0"
"50","33","28","0"
"31","24","15","0"
"160","26","60","0"
"19","15","5","1"
"55","34","29","0"
"33","25","17","0"
"300","35","120","0"
"28","22","12","0"
"75","39","38","0"
"21","17","7","1"
"90","42","45","0"
"30","23","15","0"
"65","36","32","0"
"36","28","19","0"
"170","27","65","0"
"350","40","150","0"
"24","20","10","0"
"48","31","26","0"
"220","31","90","0"
"28","22","13","0"
"58","35","30","0"
"280","33","110","0"
