"hasil_panen","dosis_pupuk","curah_hujan","kualitas_tanah"
"4.5","50","300","7"
"5.5","80","320","7"
"6.8","110","350","8"
"7.5","140","380","8"
"8.0","170","400","9"
"8.2","200","420","9"
"8.1","230","410","9"
"7.8","260","390","8"
"7.2","290","360","8"
"6.5","320","330","7"
"5.0","60","310","7"
"6.2","90","330","8"
"7.2","120","360","8"
"8.1","150","390","9"
"8.3","180","410","9"
"8.0","210","400","9"
"7.9","240","380","8"
"7.5","270","370","8"
"6.8","300","340","7"
"6.0","330","310","7"
"4.8","55","305","7"
"5.8","85","325","8"
"7.0","115","355","8"
"7.8","145","385","9"
"8.2","175","405","9"
"8.3","205","415","9"
"8.0","235","405","8"
"7.7","265","385","8"
"7.0","295","355","8"
"6.3","325","325","7"
"5.2","65","315","7"
"6.5","95","335","8"
"7.4","125","365","8"
"8.0","155","395","9"
"8.4","185","415","9"
"8.1","215","405","9"
"7.8","245","385","8"
"7.4","275","365","8"
"6.7","305","335","7"
"5.8","335","305","7"
"4.2","45","295","6"
"7.6","135","375","8"
"8.4","195","425","9"
"7.1","285","350","8"
"6.6","105","345","8"
"8.3","165","400","9"
"7.9","225","395","9"
"7.3","255","375","8"
"6.9","315","340","7"
"5.3","75","318","7"
