"output","tenaga_kerja","modal","listrik"
"5500","800","1500","1200"
"5800","850","1550","1250"
"5300","780","1480","1180"
"6500","950","1700","1400"
"5200","750","1450","1150"
"7200","1050","1800","1500"
"5600","820","1520","1220"
"6200","900","1600","1300"
"8000","1200","2000","1700"
"5550","810","1510","1210"
"6800","1000","1750","1450"
"5250","760","1460","1160"
"6400","920","1650","1350"
"7800","1150","1950","1650"
"5450","790","1490","1190"
"6300","910","1620","1320"
"5580","815","1515","1215"
"7000","1020","1780","1480"
"8200","1250","2100","1800"
"5350","770","1470","1170"
"7500","1100","1900","1600"
"5700","830","1530","1230"
"5900","860","1560","1260"
"7100","1030","1790","1490"
"5420","785","1485","1185"
"6600","960","1720","1420"
"7900","1180","1980","1680"
"5320","765","1465","1165"
"6700","980","1730","1430"
"5850","855","1555","1255"
"7600","1120","1920","1620"
"5150","740","1440","1140"
"6900","1010","1760","1460"
"6350","915","1630","1330"
"8500","1300","2200","1900"
"5650","825","1525","1225"
"7050","1025","1785","1485"
"5520","805","1505","1205"
"7300","1060","1820","1520"
"5750","835","1535","1235"
"7400","1080","1850","1550"
"6250","905","1605","1305"
"7700","1130","1930","1630"
"8600","1320","2250","1950"
"5480","795","1495","1195"
"6450","925","1655","1355"
"7850","1160","1960","1660"
"5680","828","1528","1228"
"6750","985","1735","1435"
"8100","1220","2050","1750"
