"No","Produktivitas","Pengalaman_Kerja","Jam_Pelatihan","Kepuasan_Kerja"
"1","25","1","20","70"
"2","35","3","30","75"
"3","40","5","40","80"
"4","42","7","35","82"
"5","43","10","50","85"
"6","44","15","60","88"
"7","40","20","70","75"
"8","28","1.5","25","72"
"9","38","4","32","78"
"10","41","6","38","81"
"11","43","8","45","84"
"12","44","12","55","86"
"13","42","18","65","80"
"14","22","0.5","15","65"
"15","33","2.5","28","74"
"16","39","4.5","34","79"
"17","42","6.5","39","83"
"18","44","9","48","85"
"19","45","14","58","87"
"20","41","22","75","76"
"21","26","1.2","22","71"
"22","36","3.5","31","76"
"23","41","5.5","42","81"
"24","43","7.5","37","83"
"25","44","11","52","86"
"26","43","16","62","89"
"27","39","25","80","74"
"28","30","2","26","73"
"29","39","4.2","33","79"
"30","42","6.2","39","82"
"31","44","8.5","46","84"
"32","45","13","56","87"
"33","42","19","68","81"
"34","24","0.8","18","68"
"35","34","2.8","29","75"
"36","40","4.8","35","80"
"37","43","6.8","41","83"
"38","44","9.5","49","85"
"39","45","14.5","59","88"
"40","40","23","78","75"
"41","27","1.4","24","72"
"42","37","3.8","32","77"
"43","41","5.8","43","82"
"44","43","7.8","38","84"
"45","44","11.5","53","86"
"46","43","17","63","88"
"47","38","28","85","72"
"48","29","1.8","27","73"
"49","40","4.4","34","80"
"50","42","6.4","40","83"
