"kinerja","pengalaman","skor_pelatihan","jumlah_proyek"
"65","2","70","5"
"68","3","72","6"
"70","3","75","6"
"72","4","78","7"
"75","5","80","8"
"78","5","82","8"
"80","6","85","9"
"82","7","88","10"
"85","8","90","11"
"86","8","91","11"
"88","9","92","12"
"90","10","94","13"
"91","11","95","14"
"92","12","96","15"
"93","13","97","16"
"94","14","98","17"
"95","15","99","18"
"66","2","71","5"
"69","3","73","6"
"71","4","76","7"
"73","4","79","7"
"76","5","81","8"
"79","6","83","9"
"81","6","86","9"
"83","7","89","10"
"85","8","90","11"
"87","9","91","12"
"89","10","93","13"
"90","11","94","14"
"91","12","95","15"
"92","13","96","16"
"93","14","97","17"
"94","15","98","18"
"95","16","99","19"
"96","17","99","20"
"96","18","99","21"
"97","19","99","22"
"97","20","99","23"
"98","21","99","24"
"98","22","99","25"
"98","23","99","26"
"99","24","99","27"
"99","25","99","28"
"97","1","60","4"
"99","26","99","29"
"99","27","99","30"
"99","28","99","31"
"99","29","99","32"
"99","30","99","33"
