"pengeluaran","lama_inap","pendapatan","jarak_asal"
"1200","5","60","8"
"1500","7","80","10"
"800","4","50","5"
"9500","10","250","15"
"1100","5","65","7"
"1800","8","90","11"
"1300","6","70","9"
"2200","10","110","12"
"750","3","45","4"
"1600","7","85","10"
"400","2","30","2"
"1400","6","75","9"
"1150","5","68","8"
"2100","9","100","12"
"1050","5","62","7"
"1900","8","95","11"
"1000","4","55","6"
"2500","12","120","14"
"1350","6","72","9"
"1700","7","88","10"
"12000","14","300","18"
"1250","5","64","8"
"1450","7","78","10"
"1020","4","58","6"
"2000","9","98","11"
"980","4","52","5"
"1750","8","92","11"
"1280","6","69","9"
"2300","11","115","13"
"1550","7","82","10"
"1080","5","61","7"
"1850","8","94","11"
"920","4","51","5"
"2400","11","118","13"
"1120","5","66","8"
"1950","9","96","12"
"960","4","53","6"
"2600","12","125","15"
"1420","6","76","9"
"1650","7","86","10"
"1180","5","67","8"
"2050","9","99","12"
"1030","4","59","7"
"1780","8","93","11"
"1320","6","71","9"
"2250","10","112","13"
"350","2","28","3"
"1380","6","74","9"
"1580","7","84","10"
"1480","7","79","10"
